PING 192.168.1.7 (192.168.1.7) 56(84) bytes of data.
64 bytes from 192.168.1.7: icmp_seq=1 ttl=62 time=19.3 ms
64 bytes from 192.168.1.7: icmp_seq=2 ttl=62 time=12.6 ms
64 bytes from 192.168.1.7: icmp_seq=3 ttl=62 time=15.2 ms
64 bytes from 192.168.1.7: icmp_seq=4 ttl=62 time=8.40 ms
64 bytes from 192.168.1.7: icmp_seq=5 ttl=62 time=6.87 ms
64 bytes from 192.168.1.7: icmp_seq=6 ttl=62 time=14.5 ms
64 bytes from 192.168.1.7: icmp_seq=7 ttl=62 time=9.77 ms
64 bytes from 192.168.1.7: icmp_seq=8 ttl=62 time=8.72 ms
64 bytes from 192.168.1.7: icmp_seq=9 ttl=62 time=8.79 ms
64 bytes from 192.168.1.7: icmp_seq=10 ttl=62 time=11.1 ms
64 bytes from 192.168.1.7: icmp_seq=11 ttl=62 time=7.08 ms
64 bytes from 192.168.1.7: icmp_seq=12 ttl=62 time=6.86 ms
64 bytes from 192.168.1.7: icmp_seq=13 ttl=62 time=11.8 ms
64 bytes from 192.168.1.7: icmp_seq=14 ttl=62 time=10.7 ms
64 bytes from 192.168.1.7: icmp_seq=15 ttl=62 time=6.87 ms
64 bytes from 192.168.1.7: icmp_seq=16 ttl=62 time=12.6 ms
64 bytes from 192.168.1.7: icmp_seq=17 ttl=62 time=25.0 ms
64 bytes from 192.168.1.7: icmp_seq=18 ttl=62 time=8.21 ms
64 bytes from 192.168.1.7: icmp_seq=19 ttl=62 time=6.93 ms
64 bytes from 192.168.1.7: icmp_seq=20 ttl=62 time=17.3 ms

--- 192.168.1.7 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19025ms
rtt min/avg/max/mdev = 6.865/11.452/25.079/4.739 ms
