          RX bytes:10080 (10.0 KB)  TX bytes:8789982 (8.7 MB)
          RX bytes:10170 (10.1 KB)  TX bytes:8825862 (8.8 MB)
          RX bytes:10680 (10.6 KB)  TX bytes:8881062 (8.8 MB)
          RX bytes:10680 (10.6 KB)  TX bytes:8921072 (8.9 MB)
          RX bytes:10930 (10.9 KB)  TX bytes:8963862 (8.9 MB)
          RX bytes:11362 (11.3 KB)  TX bytes:9006632 (9.0 MB)
          RX bytes:11440 (11.4 KB)  TX bytes:9049422 (9.0 MB)
          RX bytes:11872 (11.8 KB)  TX bytes:9090822 (9.0 MB)
          RX bytes:12032 (12.0 KB)  TX bytes:9126702 (9.1 MB)
          RX bytes:12032 (12.0 KB)  TX bytes:9165574 (9.1 MB)
          RX bytes:12122 (12.1 KB)  TX bytes:9206974 (9.2 MB)
          RX bytes:12464 (12.4 KB)  TX bytes:9242854 (9.2 MB)
          RX bytes:12576 (12.5 KB)  TX bytes:9289878 (9.2 MB)
          RX bytes:12576 (12.5 KB)  TX bytes:9328518 (9.3 MB)
          RX bytes:12576 (12.5 KB)  TX bytes:9365768 (9.3 MB)
          RX bytes:12576 (12.5 KB)  TX bytes:9405798 (9.4 MB)
          RX bytes:12646 (12.6 KB)  TX bytes:9438918 (9.4 MB)
          RX bytes:12646 (12.6 KB)  TX bytes:9487208 (9.4 MB)
          RX bytes:12988 (12.9 KB)  TX bytes:9532758 (9.5 MB)
          RX bytes:12988 (12.9 KB)  TX bytes:9577150 (9.5 MB)
          RX bytes:13058 (13.0 KB)  TX bytes:9624070 (9.6 MB)
          RX bytes:13400 (13.4 KB)  TX bytes:9668230 (9.6 MB)
          RX bytes:13400 (13.4 KB)  TX bytes:9730320 (9.7 MB)
          RX bytes:13400 (13.4 KB)  TX bytes:9775870 (9.7 MB)
          RX bytes:13470 (13.4 KB)  TX bytes:9817270 (9.8 MB)
          RX bytes:13470 (13.4 KB)  TX bytes:9851760 (9.8 MB)
          RX bytes:13470 (13.4 KB)  TX bytes:9891790 (9.8 MB)
          RX bytes:13470 (13.4 KB)  TX bytes:9926280 (9.9 MB)
          RX bytes:13470 (13.4 KB)  TX bytes:9966290 (9.9 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10003792 (10.0 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10039672 (10.0 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10078312 (10.0 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10151442 (10.1 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10202512 (10.2 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10259082 (10.2 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10288072 (10.2 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10318432 (10.3 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10351552 (10.3 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10387432 (10.3 MB)
          RX bytes:13812 (13.8 KB)  TX bytes:10426304 (10.4 MB)
